3	p	24.2	23900000	26400000	gneg	
3	p	24.1	26400000	30900000	gpos	75
3	p	23	30900000	32100000	gneg	
3	p	22.3	32100000	36500000	gpos	50
3	p	22.2	36500000	39400000	gneg	
3	p	22.1	39400000	43700000	gpos	75
3	p	21.33	43700000	44100000	gneg	
3	p	21.32	44100000	44200000	gpos	50
3	p	21.31	44200000	50600000	gneg	
3	p	21.2	50600000	52300000	gpos	25
3	p	21.1	52300000	54400000	gneg	
3	p	14.3	54400000	58600000	gpos	50
3	p	14.2	58600000	63700000	gneg	
3	p	14.1	63700000	69800000	gpos	50
3	p	13	69800000	74200000	gneg	
3	p	12.3	74200000	79800000	gpos	75
3	p	12.2	79800000	83500000	gneg	
3	p	12.1	83500000	87200000	gpos	75
3	p	11.2	87200000	87900000	gneg	
3	p	11.1	87900000	91000000	acen	
3	q	11.1	91000000	93900000	acen	
3	q	11.2	93900000	98300000	gvar	
3	q	12.1	98300000	100000000	gneg	
3	q	12.2	100000000	100900000	gpos	25
3	q	12.3	100900000	102800000	gneg	
3	q	13.11	102800000	106200000	gpos	75
3	q	13.12	106200000	107900000	gneg	
3	q	13.13	107900000	111300000	gpos	50
3	q	13.2	111300000	113500000	gneg	
3	q	13.31	113500000	117300000	gpos	75
3	q	13.32	117300000	119000000	gneg	
3	q	13.33	119000000	121900000	gpos	75
3	q	21.1	121900000	123800000	gneg	
3	q	21.2	123800000	125800000	gpos	25
3	q	21.3	125800000	129200000	gneg	
3	q	22.1	129200000	133700000	gpos	25
3	q	22.2	133700000	135700000	gneg	
3	q	22.3	135700000	138700000	gpos	25
3	q	23	138700000	142800000	gneg	
3	q	24	142800000	148900000	gpos	100
3	q	25.1	148900000	152100000	gneg	
3	q	25.2	152100000	155000000	gpos	50
3	q	25.31	155000000	157000000	gneg	
3	q	25.32	157000000	159000000	gpos	50
3	q	25.33	159000000	160700000	gneg	
3	q	26.1	160700000	167600000	gpos	100
3	q	26.2	167600000	170900000	gneg	
3	q	26.31	170900000	175700000	gpos	75
3	q	26.32	175700000	179000000	gneg	
3	q	26.33	179000000	182700000	gpos	75
3	q	27.1	182700000	184500000	gneg	
3	q	27.2	184500000	186000000	gpos	25
3	q	27.3	186000000	187900000	gneg	
3	q	28	187900000	192300000	gpos	75
3	q	29	192300000	198022430	gneg	
4	p	16.3	1	4500000	gneg	
4	p	16.2	4500000	6000000	gpos	25
4	p	16.1	6000000	11300000	gneg	
4	p	15.33	11300000	15200000	gpos	50
4	p	15.32	15200000	17800000	gneg	
4	p	15.31	17800000	21300000	gpos	75
4	p	15.2	21300000	27700000	gneg	
4	p	15.1	27700000	35800000	gpos	100
4	p	14	35800000	41200000	gneg	
4	p	13	41200000	44600000	gpos	50
4	p	12	44600000	48200000	gneg	
4	p	11	48200000	50400000	acen	
4	q	11	50400000	52700000	acen	
4	q	12	52700000	59500000	gneg	
4	q	13.1	59500000	66600000	gpos	100
4	q	13.2	66600000	70500000	gneg	
4	q	13.3	70500000	76300000	gpos	75
4	q	21.1	76300000	78900000	gneg	
4	q	21.21	78900000	82400000	gpos	50
4	q	21.22	82400000	84100000	gneg	
4	q	21.23	84100000	86900000	gpos	25
4	q	21.3	86900000	88000000	gneg	
4	q	22.1	88000000	93700000	gpos	75
4	q	22.2	93700000	95100000	gneg	
4	q	22.3	95100000	98800000	gpos	75
4	q	23	98800000	101100000	gneg	
4	q	24	101100000	107700000	gpos	50
4	q	25	107700000	114100000	gneg	
4	q	26	114100000	120800000	gpos	75
4	q	27	120800000	123800000	gneg	
4	q	28.1	123800000	128800000	gpos	50
4	q	28.2	128800000	131100000	gneg	
4	q	28.3	131100000	139500000	gpos	100
4	q	31.1	139500000	141500000	gneg	
4	q	31.21	141500000	146800000	gpos	25
4	q	31.22	146800000	148500000	gneg	
4	q	31.23	148500000	151100000	gpos	25
4	q	31.3	151100000	155600000	gneg	
4	q	32.1	155600000	161800000	gpos	100
4	q	32.2	161800000	164500000	gneg	
4	q	32.3	164500000	170100000	gpos	100
4	q	33	170100000	171900000	gneg	
4	q	34.1	171900000	176300000	gpos	75
4	q	34.2	176300000	177500000	gneg	
4	q	34.3	177500000	183200000	gpos	100
4	q	35.1	183200000	187100000	gneg	
4	q	35.2	187100000	191154276	gpos	25
5	p	15.33	1	4500000	gneg	
5	p	15.32	4500000	6300000	gpos	25
5	p	15.31	6300000	9800000	gneg	
5	p	15.2	9800000	15000000	gpos	50
5	p	15.1	15000000	18400000	gneg	
5	p	14.3	18400000	23300000	gpos	100
5	p	14.2	23300000	24600000	gneg	
5	p	14.1	24600000	28900000	gpos	100
5	p	13.3	28900000	33800000	gneg	
5	p	13.2	33800000	38400000	gpos	25
5	p	13.1	38400000	42500000	gneg	
5	p	12	42500000	46100000	gpos	50
5	p	11	46100000	48400000	acen	
5	q	11.1	48400000	50700000	acen	
5	q	11.2	50700000	58900000	gneg	
5	q	12.1	58900000	62900000	gpos	75
5	q	12.2	62900000	63200000	gneg	
5	q	12.3	63200000	66700000	gpos	75
5	q	13.1	66700000	68400000	gneg	
5	q	13.2	68400000	73300000	gpos	50
5	q	13.3	73300000	76900000	gneg	
5	q	14.1	76900000	81400000	gpos	50
5	q	14.2	81400000	82800000	gneg	
5	q	14.3	82800000	92300000	gpos	100
5	q	15	92300000	98200000	gneg	
5	q	21.1	98200000	102800000	gpos	100
5	q	21.2	102800000	104500000	gneg	
5	q	21.3	104500000	109600000	gpos	100
5	q	22.1	109600000	111500000	gneg	
5	q	22.2	111500000	113100000	gpos	50
5	q	22.3	113100000	115200000	gneg	
5	q	23.1	115200000	121400000	gpos	100
5	q	23.2	121400000	127300000	gneg	
